,,INPUT PARAMETERS,,,,,,,,,OUTPUT,,,,,,
City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,,,,,, 
Mumbai,8/3/2019,8.06,23.05,16.04,8.7,24.19,15.24,0.39,10.29,13.76,49,,,,,,
Mumbai,8/4/2019,10.3,35.88,15.93,7.87,23.05,12.79,0.4,10.12,13.98,48,,,,,,
Mumbai,8/5/2019,11.9,41.42,18.87,9.02,26.81,12.44,0.42,10.04,12.85,56,,,,,,
Mumbai,8/6/2019,10.6,41.04,23.34,9.73,31.87,12.25,0.44,9.83,11.1,59,,,,,,
Mumbai,8/7/2019,12.73,51.39,24.49,9.14,32.45,11.54,0.43,9.37,12.52,60,,,,,,
Mumbai,8/8/2019,18.67,72.32,23.89,9.7,32.84,11.17,0.44,9.46,12.52,69,,,,,,
Mumbai,8/9/2019,18.48,66.95,19.78,8.54,28.11,10.95,0.43,9.26,11.43,74,,,,,,
Mumbai,8/10/2019,18.71,76.53,18,7.54,23.54,9.67,0.41,9.13,12.07,78,,,,,,
Mumbai,8/11/2019,15.56,62.75,19.14,7.74,25.2,8.21,0.43,8.71,12.19,72,,,,,,
Mumbai,8/12/2019,12.73,56.76,20.93,7.92,28.39,8.78,0.45,7.44,11.54,66,,,,,,
Mumbai,8/13/2019,13.07,52.56,28.81,10.19,38.17,10.04,0.54,8.19,9.89,66,,,,,,
Mumbai,8/14/2019,15.06,61.4,27.53,12.45,39.97,10.91,0.57,8.64,10.8,69,,,,,,
Mumbai,8/15/2019,11.75,47.84,23.11,10.33,33.42,10.23,0.53,9.53,12.32,70,,,,,,
Mumbai,8/16/2019,11.89,51.78,21.54,9.91,31.39,8.81,0.52,9.55,12.81,60,,,,,,
Mumbai,8/17/2019,13.3,64.05,17.68,9.24,26.81,8.8,0.52,7.74,13.62,67,,,,,,
Mumbai,8/18/2019,11.37,52.68,20.6,8.69,29.22,8.62,0.55,7.38,11.22,65,,,,,,
Mumbai,8/19/2019,11.44,53.12,23.24,9.8,32.29,10.27,0.54,8.07,10.44,67,,,,,,
Mumbai,8/20/2019,13.78,63.94,25.29,11.11,35.44,8.67,0.51,8.9,10.72,73,,,,,,
Mumbai,8/21/2019,15.77,53.39,21.95,11.06,32.19,5.67,0.52,8.59,11.15,68,,,,,,
Mumbai,8/22/2019,12.96,53.14,22.39,10.74,32.56,7.52,0.55,9.01,10.33,62,,,,,,
Mumbai,8/23/2019,16.01,52.92,23.11,11.58,34.04,12.92,0.6,9.56,9.38,64,,,,,,
Mumbai,8/24/2019,18.56,49.36,18.39,10.06,27.72,12.42,0.58,9.6,11.89,62,,,,,,
Mumbai,8/25/2019,12.37,47.31,24.17,11.86,35.08,12.82,0.69,11.14,8.11,66,,,,,,
Mumbai,8/26/2019,14.76,59.08,24.26,11.3,34.95,15.1,0.64,12.3,8.62,73,,,,,,
Mumbai,8/27/2019,13.53,55.06,22.73,10.38,32.22,14.52,0.35,11.97,10.51,64,,,,,,
Mumbai,8/28/2019,12.75,45,18.89,9.91,28.73,19.5,0.46,11.47,9.27,53,,,,,,
Mumbai,8/29/2019,13.24,46.32,22.52,10.03,32.28,15.95,0.66,11.13,8.93,57,,,,,,
Mumbai,8/30/2019,11.17,39.63,27.41,10.86,37.62,16.12,0.67,10.95,7.12,62,,,,,,
Mumbai,8/31/2019,11.53,42.24,23.87,11.28,34.6,15.21,0.63,11.18,8.93,62,,,,,,
Mumbai,9/1/2019,9.75,32.99,25.25,10.74,35.69,11.7,0.65,11.02,10.84,62,,,,,,
Mumbai,9/2/2019,12.12,41.22,24.24,9.33,32.13,9.82,0.71,10.89,8.56,67,,,,,,
Mumbai,9/3/2019,6.72,21.31,22.59,11.46,33.25,11.08,0.64,10.98,9.87,60,,,,,,
Mumbai,9/4/2019,7.68,20.72,16.94,12.01,28.84,12.63,0.62,11.23,9.36,54,,,,,,
Mumbai,9/5/2019,5.68,20.38,13.76,10.54,24.08,12.98,0.6,11.37,10.26,49,,,,,,
Mumbai,9/6/2019,7.6,29.36,12.54,10.81,23.05,11.7,0.57,10.93,9.62,47,,,,,,
Mumbai,9/7/2019,10.71,34.27,13.36,11.97,24.75,10.07,0.62,11.08,9.12,49,,,,,,
Mumbai,9/8/2019,8.69,29.63,13.52,13.69,26.66,9,0.67,11.81,12.28,51,,,,,,
Mumbai,9/9/2019,12.07,46.77,14.4,12.67,26.77,9.16,0.57,12.02,9.24,54,,,,,,
Mumbai,9/10/2019,13.89,51.1,10.6,12.29,22.61,9.89,0.39,11.8,10.38,54,,,,,,
Mumbai,9/11/2019,14.62,47.04,20.44,13.79,33.46,10.31,0.52,12.02,7.52,55,,,,,,
Mumbai,9/12/2019,10.93,41.79,13.61,12.54,23.65,10.26,0.44,11.38,7.84,55,,,,,,
Mumbai,9/13/2019,12.93,39.62,24.34,13.82,38.08,11.37,0.54,12,7.08,53,,,,,,
Mumbai,9/14/2019,13.24,54.5,17.51,12.13,29.52,11.01,0.46,11.58,9.01,60,,,,,,
Mumbai,9/15/2019,10.85,32.85,18.68,17.71,35.25,9.14,0.62,11.31,12.04,57,,,,,,
Mumbai,9/16/2019,11.95,45.25,31.62,13.78,44.35,19.52,0.57,12.4,7.17,65,,,,,,
Mumbai,9/17/2019,16.24,43.48,31.84,12.93,44.44,15.38,0.59,11.46,8.24,64,,,,,,
Mumbai,9/18/2019,17.95,42.66,36.78,17.44,52.32,14.89,0.8,12.06,7.93,80,,,,,,
Mumbai,9/19/2019,21.73,38.49,15.81,30.97,46.79,13.33,0.83,11.61,18.46,83,,,,,,
Mumbai,9/20/2019,14.94,34.2,17.92,21.94,39.84,17.44,0.75,10.98,10.91,73,,,,,,
Mumbai,9/21/2019,12.09,33,20.6,16.97,37.44,15.24,0.47,8.75,11.09,57,,,,,,
Mumbai,9/22/2019,15.09,44.55,15.96,15.95,31.9,12.04,0.45,6.85,11.12,56,,,,,,
Mumbai,9/23/2019,18.6,57.85,20.12,13.64,33.08,13.89,0.55,7.6,8.68,64,,,,,,
Mumbai,9/24/2019,15.04,59.47,21.42,12.38,32.84,11.16,0.57,7.4,9.33,67,,,,,,
Mumbai,9/25/2019,16.9,37.22,20.46,22.09,42,11.57,0.67,7.63,10.74,64,,,,,,
Mumbai,9/26/2019,17.28,39.46,22.87,19.61,41.89,19.44,0.67,7.97,10.72,70,,,,,,
Mumbai,9/27/2019,8.39,22.71,15.69,12.29,27.95,14.47,0.39,7.44,10.11,49,,,,,,
Mumbai,9/28/2019,8.32,27.38,18.67,10.2,28.84,16.88,0.28,7.82,7.38,40,,,,,,
Mumbai,9/29/2019,9.62,32.07,17.97,9.67,27.5,12.28,0.28,8.2,7.3,42,,,,,,
